a bit	một chút, một tí
historical	lịch sử
medicine	dược phẩm
tour	chuyến du lịch
depend	tùy theo
photo	hình chụp
finding	Phát hiện
grab	vồ lấy
direct	thẳng thắn
classroom	phòng học
contact	tiếp xúc
justice	Sự công bằng
participate	tham dự
daily	hằng ngày
fair	hội chợ
pair	đôi
famous	nổi danh
exercise	tập thể dục
knee	đầu gối
flower	hoa
tape	băng
hire	thuê mướn
familiar	quen
appropriate	thích hợp
supply	cung cấp
fully	đầy đủ
cut	cắt tỉa
will	sẽ
actor	diễn viên
birth	Sinh
search	Tìm kiếm
tie	cà vạt
democracy	dân chủ
eastern	phương Đông
primary	sơ cấp
yesterday	hôm qua
circle	vòng tròn
device	thiết bị
progress	tiến độ
next	kế tiếp
front	trước mặt
bottom	đáy
island	Đảo
exchange	trao đổi, giao dịch
clean	dọn dẹp
studio	studio
train	xe lửa
lady	quý bà
colleague	đồng nghiệp
application	ứng dụng
neck	cái cổ
lean	nạc
damage	hư hại
plastic	nhựa
tall	cao
plate	đĩa
hate	ghét bỏ
otherwise	nếu không thì
writing	viết
press	nhấn
male	Nam giới
start	khởi đầu
alive	sống sót
expression	biểu hiện
football	bóng đá
intend	dự định
attack	tấn công
chicken	gà
army	quân đội
abuse	lạm dụng
theater	rạp hát
shut	đóng lại
map	bản đồ
extra	thêm
session	phiên họp
danger	nguy hiểm
welcome	chào mừng
domestic	trong nước
lots	rất nhiều
literature	văn chương
rain	mưa
desire	khao khát
assessment	thẩm định, lượng định, đánh giá
injury	chấn thương
respect	sự tôn trọng
northern	Phương bắc
nod	gật đầu
paint	Sơn
fuel	nhiên liệu
leaf	lá
direct	thẳng thắn
dry	khô
Russian	Người Nga
instruction	chỉ dẫn
fight	chiến đấu
pool	bơi
climb	leo
sweet	ngọt
lead	chì
engine	động cơ
fourth	thứ tư
salt	Muối
expand	mở rộng
importance	tầm quan trọng
metal	kim loại
fat	mập
ticket	vé
software	phần mềm
disappear	biến mất
corporate	công ty
strange	kỳ lạ
lip	môi
reading	đọc hiểu
urban	đô thị
mental	tâm thần
increasingly	ngày càng
lunch	Bữa trưa
educational	giáo dục
somewhere	một vài nơi
farmer	nông phu
above	ở trên
sugar	đường
planet	hành tinh
favorite	yêu thích
explore	khám phá
obtain	đạt được
enemy	kẻ thù
greatest	vĩ đại nhất
complex	phức tạp
surround	vây quanh
athlete	lực sĩ
invite	mời gọi
repeat	nói lại
carefully	cẩn thận
soul	Linh hồn
scientific	thuộc về khoa học
impossible	Không thể nào
panel	bảng điều khiển
meaning	Ý nghĩa
mom	mẹ
married	cưới nhau
alone	một mình
instrument	dụng cụ
predict	tiên đoán
weather	thời tiết
presidential	tổng thống
emotional	đa cảm
commitment	cam kết
Supreme	Tối cao
bear	chịu
pocket	bỏ túi
thin	gầy
temperature	nhiệt độ
surprise	sự ngạc nhiên
poll	thăm dò ý kiến
proposal	đề nghị
consequence	hậu quả
half	một nửa
breath	hơi thở
sight	thị giác
cover	che
balance	cân đối
adopt	thông qua
minority	thiểu số
straight	thẳng
attempt	cố gắng
connect	kết nối
works	công trinh
teaching	giảng bài
belong	thuộc về
aid	viện trợ
advice	khuyên bảo
okay	đuợc
photograph	ảnh chụp
empty	trống
regional	khu vực
trail	đường mòn
novel	cuốn tiểu thuyết
code	mã
somehow	bằng cách nào đó
organize	tổ chức
jury	ban bồi thẩm
breast	nhũ hoa
Iraqi	Iraqi
human	Nhân loại
acknowledge	công nhận
theme	chủ đề
storm	bão táp
union	liên hiệp
record	ghi lại
desk	bàn
fear	nỗi sợ
thanks	cảm ơn
fruit	trái cây
under	Dưới
expensive	đắt
yellow	màu vàng
conclusion	phần kết luận
prime	nguyên tố
shadow	bóng
struggle	đấu tranh
conclude	kết luận
analyst	nhà phân tích
dance	nhảy
limit	giới hạn
like	như
regulation	Quy định
being	đang
last	Cuối cùng
ring	nhẫn
largely	phần lớn
shift	sự thay đổi
revenue	thu nhập
mark	dấu
locate	định vị
county	quận
appearance	xuất hiện
package	gói
difficulty	khó khăn
bridge	cầu
recommend	giới thiệu
obvious	hiển nhiên
train	xe lửa
basically	về cơ bản
e-mail	e-mail
generate	tạo ra
anymore	nữa không
propose	cầu hôn
thinking	Suy nghĩ
possibly	có thể
trend	khuynh hướng
visitor	khách thăm quan
loan	tiền vay
currently	hiện tại
comfortable	Thoải mái
investor	nhà đầu tư
but	nhưng
profit	lợi nhuận
angry	bực bội
crew	phi hành đoàn
deep	sâu
accident	Tai nạn
male	Nam giới
meal	bữa ăn
hearing	thính giác
traffic	giao thông
muscle	cơ bắp
notion	khái niệm
capture	nắm bắt
prefer	thích hơn
truly	thực sự
earth	trái đất
Japanese	tiếng Nhật
chest	ngực
search	Tìm kiếm
thick	dày
cash	tiền mặt
museum	viện bảo tàng
beauty	sắc đẹp, vẻ đẹp
emergency	trường hợp khẩn cấp
unique	độc nhất
feature	đặc tính
internal	bên trong
ethnic	dân tộc
link	liên kết
stress	nhấn mạnh
content	Nội dung
select	lựa chọn
root	nguồn gốc
nose	mũi
declare	khai
outside	ở ngoài
appreciate	đánh giá
actual	thực tế
bottle	chai
hardly	khó khăn
setting	cài đặt
launch	phóng
dress	trang phục
file	tập tin
sick	đau ốm
outcome	kết quả
ad	quảng cáo
defend	phòng thủ
matter	vấn đề
judge	thẩm phán
duty	nhiệm vụ
sheet	tấm
ought	nên
ensure	đảm bảo
Catholic	Công giáo
extremely	vô cùng
extent	phạm vi
component	thành phần
mix	pha trộn
long-term	dài hạn
slow	chậm
contrast	tương phản
zone	vùng
wake	đánh thức
challenge	thử thách
airport	sân bay
chief	giám đốc
brown	nâu
standard	Tiêu chuẩn
shirt	áo sơ mi
pilot	Phi công
warn	cảnh báo
ultimately	cuối cùng
cat	con mèo
contribution	sự đóng góp
capacity	sức chứa
ourselves	chúng ta
estate	bất động sản
guide	hướng dẫn
circumstance	tình huống
snow	tuyết
English	Anh
politician	chính trị gia
steal	lấy trộm
pursue	theo đuổi
slip	trượt
percentage	phần trăm
meat	thịt
funny	buồn cười
neither	cũng không
soil	đất
influence	ảnh hưởng
surgery	phẫu thuật
correct	chính xác
Jewish	Người Do thái
blame	khiển trách
estimate	ước tính
due	đến hạn
basketball	bóng rổ
late	muộn
golf	golf
investigate	điều tra
crazy	khùng
significantly	đáng kể
chain	chuỗi
address	địa chỉ nhà
branch	chi nhánh
combination	sự phối hợp
just	chỉ
frequently	thường xuyên
governor	thống đốc
relief	cứu trợ
user	người dùng
dad	cha
kick	đá
part	phần
manner	cách thức
ancient	xưa
silence	khoảng lặng
rating	Xêp hạng
golden	vàng
motion	chuyển động
German	tiếng Đức
gender	giới tính
solve	giải quyết
fee	chi phí
landscape	phong cảnh
used	đã sử dụng
bowl	bát
equal	công bằng
long	Dài
official	chính thức
forth	ra
frame	khung
typical	điển hình
except	ngoại trừ
conservative	thận trọng
eliminate	loại bỏ
host	chủ nhà
hall	đại sảnh
trust	Lòng tin
ocean	đại dương
score	ghi bàn
row	hàng
producer	nhà sản xuất
afford	đủ khả năng
meanwhile	trong khi đó
regime	chế độ
division	phân chia
confirm	xác nhận
fix	sửa chữa
appeal	kháng cáo
mirror	gương
tooth	răng
smart	thông minh
length	chiều dài
entirely	hoàn toàn
rely	dựa
topic	đề tài
complain	than phiền
issue	vấn đề
variable	biến
back	trở lại
range	phạm vi
telephone	Điện thoại
perception	nhận thức
attract	thu hút
confidence	sự tự tin
bedroom	phòng ngủ
secret	bí mật
debt	món nợ
rare	hiếm
his	của anh ấy
tank	xe tăng
nurse	y tá
coverage	phủ sóng
opposition	Sự đối lập
aside	qua một bên
anywhere	ở đâu
bond	liên kết
file	tập tin
pleasure	vui lòng
master	bậc thầy
era	kỷ nguyên
requirement	yêu cầu
check	kiểm tra
stand	đứng
fun	vui vẻ
expectation	sự mong đợi
wing	canh
separate	tách rời
now	hiện nay
clear	trong sáng
struggle	đấu tranh
mean	nghĩa là
somewhat	phần nào
pour	đổ
stir	khuấy
judgment	phán đoán
clean	dọn dẹp
except	ngoại trừ
beer	bia
English	Anh
reference	tài liệu tham khảo
tear	nước mắt
doubt	nghi ngờ
grant	ban cho
seriously	nghiêm túc
account	tài khoản
minister	bộ trưởng, mục sư
totally	hoàn toàn
hero	anh hùng
industrial	công nghiệp
cloud	đám mây
stretch	căng ra
winner	người chiến thắng
volume	âm lượng
travel	du lịch
seed	giống
surprised	ngạc nhiên
rest	nghỉ ngơi
fashion	thời trang
pepper	tiêu
separate	tách rời
busy	bận
intervention	can thiệp
copy	sao chép
tip	tiền boa
below	phía dưới
cheap	giá rẻ
aim	mục đích
cite	trích dẫn
welfare	phúc lợi
vegetable	rau
gray	màu xám
dish	món ăn
beach	bờ biển
improvement	cải tiến
everywhere	mọi nơi
opening	khai mạc
overall	tổng thể
divide	chia
initial	ban đầu
terrible	khủng khiếp
oppose	phản đối
contemporary	đồng thời
route	lộ trình
multiple	nhiều
essential	Cần thiết
question	câu hỏi
league	liên đoàn
criminal	phạm tội
careful	cẩn thận
core	cốt lõi
upper	phía trên
rush	vội vã
necessarily	nhất thiết
specifically	đặc biệt
tired	mệt mỏi
rise	tăng lên
tie	cà vạt
employ	thuê
holiday	ngày lễ
dance	nhảy
vast	rộng lớn
resolution	độ phân giải
household	hộ gia đình
fewer	ít hơn
abortion	sự phá thai
apart	xa nhau
witness	nhân chứng
match	trận đấu
barely	vừa đủ
sector	ngành
representative	Tiêu biểu
lack	thiếu sót
beneath	ở trên
beside	bên cạnh
black	đen
incident	biến cố
limited	giới hạn
proud	tự hào
flow	lưu lượng
faculty	giảng viên
increased	tăng
waste	chất thải
the	các
be	được
and	và
of	của
a	một
in	trong
to	đến
have	có
to	đến
it	nó
I	tôi
that	cái đó
for	cho
you	bạn
he	anh ta
with	với
on	trên
do	làm
say	Nói
this	điều này
they	họ
at	tại
but	nhưng
we	chúng tôi
his	của anh ấy
from	từ
that	cái đó
not	không phải
n't	không
by	bởi
she	chị ấy
or	hoặc là
as	như
what	gì
go	đi
their	họ
can	có thể
who	người nào
get	được
if	nếu
would	sẽ
her	cô ấy
all	tất cả các
my	tôi
make	chế tạo
about	trong khoảng
know	biết
will	sẽ
as	như
up	lên
one	một
time	thời gian
there	ở đó
year	năm
so	vì thế
think	suy nghĩ
when	khi nào
which	mà
them	họ
some	một số
me	tôi
people	những người
take	lấy
out	ngoài
into	vào
just	chỉ
see	xem
him	anh ta
your	của bạn
come	đến
could	có thể
now	hiện nay
than	hơn
like	như
other	khác
how	làm sao
then	sau đó
its	của nó
our	của chúng ta
two	hai
more	hơn
these	những
want	muốn
way	đường
look	nhìn
first	Đầu tiên
also	cũng thế
new	Mới
because	bởi vì
day	ngày
more	hơn
use	sử dụng
no	Không
man	Đàn ông
find	tìm thấy
here	đây
thing	Điều
give	đưa cho
many	nhiều
well	tốt
only	chỉ có
those	những, cái đó
tell	nói
one	một
very	rất
her	cô ấy
even	cũng
back	trở lại
any	bất kì
good	tốt
woman	đàn bà
through	xuyên qua
us	chúng tôi
life	đời sống
child	đứa trẻ
there	ở đó
work	công việc
down	xuống
may	Tháng Năm
after	sau
should	Nên
call	gọi
world	thế giới
over	kết thúc
school	trường học
still	vẫn
try	thử
in	trong
as	như
last	Cuối cùng
ask	hỏi
need	nhu cầu
too	quá
feel	cảm thấy
three	số ba
when	khi nào
state	tiểu bang
never	không bao giờ
become	trở nên
between	giữa
high	cao
really	có thật không
something	cái gì đó
most	phần lớn
another	khác
much	nhiều
family	gia đình
own	sở hữu
out	ngoài
leave	rời khỏi
put	đặt
old	cũ
while	trong khi
mean	nghĩa là
on	trên
keep	giữ
student	sinh viên
why	tại sao
let	để cho
great	tuyệt quá
same	tương tự
big	lớn
group	nhóm
begin	bắt đầu
seem	hình như
country	Quốc gia
help	Cứu giúp
talk	nói chuyện
where	Ở đâu
turn	xoay
problem	vấn đề
every	mỗi
start	khởi đầu
hand	tay
might	có thể
American	Người Mỹ
show	chỉ
part	phần
about	trong khoảng
against	chống lại
place	địa điểm
over	kết thúc
such	như là
again	lần nữa
few	vài
case	trường hợp
most	phần lớn
week	tuần
company	Công ty
where	Ở đâu
system	hệ thống
each	mỗi
right	đúng
program	chương trình
hear	Nghe
so	vì thế
question	câu hỏi
during	suốt trong
work	công việc
play	chơi
government	chính quyền
run	chạy
small	nhỏ bé
number	con số
off	tắt
always	luôn luôn
move	di chuyển
like	như
night	đêm
live	trực tiếp
Mr	Ông
point	điểm
believe	tin
hold	giữ
today	hôm nay
bring	mang đến
happen	xảy ra
next	kế tiếp
without	không có
before	trước
large	lớn
all	tất cả các
million	triệu
must	phải
home	nhà
under	Dưới
water	Nước
room	phòng
write	viết
mother	mẹ
area	khu vực
national	Quốc gia
money	tiền bạc
story	câu chuyện
young	trẻ
fact	thực tế
month	tháng
different	khác nhau
lot	nhiều
right	đúng
study	học
book	sách
eye	mắt
job	việc làm
word	từ
though	Tuy nhiên
business	kinh doanh
issue	vấn đề
side	bên
kind	loại
four	bốn
head	cái đầu
far	xa
black	đen
long	Dài
both	cả hai
little	ít
house	nhà ở
yes	Vâng
after	sau
since	kể từ
long	Dài
provide	cung cấp
service	dịch vụ
around	xung quanh
friend	người bạn
important	quan trọng
father	cha
sit	ngồi
away	xa
until	cho đến
power	quyền lực
hour	giờ
game	trò chơi
often	thường xuyên
yet	chưa
line	hàng
political	chính trị
end	kết thúc
among	trong số
ever	không bao giờ
stand	đứng
bad	xấu
lose	thua
however	Tuy nhiên
member	hội viên
pay	trả
law	pháp luật
meet	gặp
car	xe hơi
city	thành phố
almost	hầu hết
include	bao gồm
continue	tiếp tục
set	bộ
later	một lát sau
community	cộng đồng
much	nhiều
name	Tên
five	số năm
once	Một lần
white	trắng
least	ít nhất
president	chủ tịch
learn	học hỏi
real	thực
change	thay đổi
team	đội
minute	phút
best	tốt
several	một số
idea	ý kiến
kid	đứa trẻ
body	thân hình
information	thông tin
nothing	không có gì
ago	trước
right	đúng
lead	chì
social	xã hội
understand	hiểu không
whether	liệu
back	trở lại
watch	đồng hồ đeo tay
together	cùng với nhau
follow	theo
around	xung quanh
parent	cha mẹ
only	chỉ có
stop	dừng lại
face	đối mặt
anything	bất cứ điều gì
create	tạo nên
public	công cộng
already	đã
speak	nói
others	Khác
read	đọc
level	cấp độ
allow	cho phép
add	thêm vào
office	văn phòng
spend	tiêu
door	cửa
health	Sức khỏe
person	người
art	nghệ thuật
sure	chắc chắn rồi
such	như là
war	chiến tranh
history	lịch sử
party	buổi tiệc
within	bên trong
grow	lớn lên
result	kết quả
open	mở
change	thay đổi
morning	buổi sáng
walk	đi bộ
reason	lý do
low	thấp
win	thắng lợi
research	nghiên cứu
girl	con gái
guy	chàng
early	sớm
food	món ăn
before	trước
moment	chốc lát
himself	bản thân anh ấy
air	không khí
teacher	giáo viên
force	lực lượng
offer	phục vụ
enough	đủ
both	cả hai
education	giáo dục
across	băng qua
although	mặc dù
remember	nhớ lại
foot	chân
second	thứ hai
boy	con trai
